title,ontology/title,deathPlace,birthPlace,num_spouses,ontology/birthYear,ontology/deathYear,birthCountry
Şah_Sultan_(daughter_of_Selim_I),,,,,1509,1572,
Şah_Sultan_(daughter_of_Selim_II),,,,,1544,1602,
Şahin_Giray,Khanof theCrimean Khanate,,,,1745,1787,
Şayan_Kadınefendi_(wife_of_Abdülmecid_I),,,,,1829,1862,
Şayan_Kadınefendi_(wife_of_Murad_V),,,,,1853,1945,
Şayeste_Hanımefendi,,,,,1836,1912,
Amjad_Ali_Shah,KingofOudh,,,,1801,1847,
Amy_Brown_(royal_mistress),,,,,1783,1876,
Amélie_of_Orléans,,,,,1865,1951,United Kingdom
Ana_María_de_Huarte_y_Muñiz,Empress consort of Mexico,,,,1786,1861,
Ana_de_Velasco_y_Girón,,,,,1585,1607,
Anantavarman_Chodaganga,,,,,1077,1150,
Anastasia_of_Serbia,,,,,1125,1200,
Andrew_Armstrong,,,,,1786,1863,
Andrew_Lauder,,,,,1702,1769,
Andrey_Gagarin,Prince Andrey Petrovich Gagarin,,,,1934,2011,
Andriamasinavalona,,,,,1675,1710,
Andrianjafy,,,,,1770,1787,
Ang_Chan_II,King of Cambodia,,,,1792,1834,
Ang_Eng,King of Cambodia,,,,1772,1796,
Ang_Mey,Queen of Cambodia,,,,1815,1874,
Anna_Catherine_Constance_Vasa,,,,,1619,1651,Poland
Anna_Diogenissa,,,,,1074,12,
Anna_Isabella_Gonzaga,,,,,1655,1703,Italy
"Anna_Jagiellon,_Duchess_of_Pomerania",,,,,1476,1503,Poland
Anna_Karolina_Orzelska,"['Countess Orzelska', 'Princess of Schleswig-Holstein-Sonderburg-Beck']",,,,1707,1769,
Anna_Maria_Franziska_of_Saxe-Lauenburg,,,,,1673,1741,
Anna_Maria_of_Brandenburg,Duchess consort of Pomerania,,,,1567,1618,
Anna_Maria_of_Hungary,,,,,1204,1237,Hungary
Anna_Maria_of_Liechtenstein,Princess consort of Liechtenstein,,,,1699,1753,
Anna_Sforza,,,,,1476,1497,
"Anna_Sophia_II,_Abbess_of_Quedlinburg",,,,,1638,1683,
"Anna_de'_Medici,_Archduchess_of_Austria","['Archduchess of Further Austria', 'Countess ofTyrol']",,,,1616,1676,
"Anna_of_Austria,_Queen_of_Spain",,,,,1549,1580,Spain
Anna_of_Mecklenburg-Schwerin,,,,,1485,1525,
"Anna_of_Saxony,_Electress_of_Brandenburg",,,,,1437,1512,
"Anna_of_Saxony,_Landgravine_of_Hesse",,,,,1420,1462,
Anna_of_Tyrol,Holy Roman Empress; Queen consort of the Romans Hungary and Bohemia; Archduchess consort of Austria,,,,1585,1618,Austria
Anna_van_Egmont,,,,,1533,1558,
"Anne,_Duchess_of_Cumberland_and_Strathearn",Duchess of Cumberland and Strathearn,,,,1743,1808,
Anne-Marie_von_Schutzbar_genannt_Milchling,Hereditary Grand Duchess of Oldenburg,,,,1903,1991,
"Anne_Christine_of_Sulzbach,_Princess_of_Piedmont",,,,,1704,1723,
Anne_Dorte_of_Rosenborg,,,,,1947,2014,Denmark
Anne_Geneviève_de_Lévis,"['Princess of Soubise', 'Duchess of Rohan-Rohan', 'Princess of Turenne']",,,,1673,1727,
Anne_Gonzaga,Countess Palatine of Simmern,,,,1616,1684,France
Anne_Henriette_of_Bavaria,Princess of Condé,,,,1648,1723,France
Anne_Julie_de_Melun,Princess of Soubise,,,,1698,1724,France
Anne_Marie_Louise_de_La_Tour_d'Auvergne,Princess of Soubise,,,,1722,1739,France
Anne_Marie_d'Orléans,"['Duchess consort of Savoy', 'Queen consort of Sardinia', 'Queen consort of Sicily']",,,,1669,1728,France
Anne_Marie_de_Bourbon,,,,,1675,1700,France
Anne_de_La_Grange-Trianon,Countess of Frontenac,,,,1632,1707,
"Anne_de_Montafié,_Countess_of_Clermont-en-Beauvaisis","['Countess of Soissons', 'suo jure']",,,,1577,1644,
Anne_de_Rohan-Chabot,Princess of Soubise,,,,1648,1709,
"Anne_of_Austria,_Margravine_of_Brandenburg",,,,,1275,1327,
Anne_of_Bavaria,,,,,1329,1353,
Anne_of_Bohemia_(1290–1313),,,,,1290,1313,Czech Republic
Anne_of_Cyprus,,,,,1418,1462,Cyprus
"Anne_of_Denmark,_Electress_of_Saxony",,,,,1532,1585,
"Anne_of_York,_Duchess_of_Exeter",Duchess of Exeter,,,,1439,1476,
"Anselm_Franz,_2nd_Prince_of_Thurn_and_Taxis",Prince of Thurn and Taxis,,,,1681,1739,
Anthony_Aucher,,,,,1614,1692,
Anthony_Walter_Dayrell_Brooke,H.H.Rajah Muda of Sarawak (titular),,,,1912,2011,
"Antigone_Plantagenet,_Countess_of_Tankerville","['Countess of Tankerville', 'Countess of Powis']",,,,1425,1450,
"Antoine,_13th_Prince_of_Ligne",Prince of Ligne,,,,1925,2005,
Antoinette_de_Bourbon,Duchess of Guise,,,,1493,1583,
Antoinette_de_Mérode,Princess of Monaco,,,,1828,1864,Belgium
"Anton-Günther,_Duke_of_Oldenburg",Duke of Oldenburg,,,,1923,2014,
Anton_II_of_Georgia,,,,,1762,1827,
"Anton_Ulrich,_Duke_of_Saxe-Meiningen",Duke of Saxe-Meiningen,,,,1687,1763,
"Antonio_Farnese,_Duke_of_Parma",,,,,1679,1731,
"Albert,_8th_Prince_of_Thurn_and_Taxis",Prince of Thurn and Taxis,,,,1867,1952,
"Albert,_Margrave_of_Meissen_(1934–2012)",Margrave of Meissen,,,,1934,2012,
"Albert,_Prince_of_Schwarzburg-Rudolstadt",Prince of Schwarzburg-Rudolstadt,,,,1798,1869,
"Albert_I,_Margrave_of_Meissen",Margrave of Meissen,,,,1158,1195,
"Albert_II,_Duke_of_Saxony","['(officially:)', 'Duke of Saxony Angria and Westphalia']",,,,1250,1298,
"Albert_III,_Duke_of_Saxe-Lauenburg","['(officially:)', 'Duke of Saxony Angria and Westphalia']",,,,1281,1308,
"Albert_IV,_Duke_of_Mecklenburg",,,,,1363,1388,
"Albert_IV,_Duke_of_Saxe-Eisenach",Duke of Saxe-Eisenach,,,,1599,1644,
"Albert_IV,_Duke_of_Saxe-Lauenburg",,,,,1315,1343,
Aleksey_Belevsky-Zhukovsky,,,,,1871,1931,
"Alessandro,_1st_Duke_of_Castel_Duino",Duke of Castel Duino,,,,1881,1937,
"Alexander,_Prince_of_Erbach-Schönberg",Prince of Erbach-Schönberg,,,,1872,1944,
"Alexander,_Prince_of_Lippe",Prince of Lippe,,,,1831,1905,
"Alexander,_Prince_of_Orange",Prince of Orange,,,,1851,1884,Netherlands
Alexander_Erskine-Hill,,,,,1894,1947,
"Alexander_Ferdinand,_3rd_Prince_of_Thurn_and_Taxis",Prince of Thurn and Taxis,,,,1704,1773,
"Alexander_Georgievich,_7th_Duke_of_Leuchtenberg",Duke of Leuchtenberg,,,,1881,1942,
Alexander_III_of_Imereti,,,,,1609,1660,
Alexander_II_of_Kakheti,,,,,1527,1605,
Alexander_II_of_Russia,,,,,1818,1881,
"Alexander_von_Hanstein,_Count_of_Pölzig_and_Beiersdorf",,,,,1804,1884,
Alexandra_Prinzessin_von_Hannover,Princess Welf Henry of Hanover,,,,1937,2015,
Alexandra_Zhukovskaya,,,,,1842,1899,
Alexei_Antonovich_of_Brunswick,,,,,1746,1787,
"Alexis,_Prince_of_Bentheim_and_Steinfurt",Prince of Bentheim and Steinfurt,,,,1845,1919,
"Alexius_Frederick_Christian,_Duke_of_Anhalt-Bernburg",Duke of Anhalt-Bernburg,,,,1767,1834,
"Alfonso_III_d'Este,_Duke_of_Modena",Duke of Modena and Reggio,,,,1591,1644,
"Alfonso_IV_d'Este,_Duke_of_Modena",Duke of Modena and Reggio,,,,1634,1662,
Alfonso_of_Aragon_(1481–1500),Duke ofBiscegliePrince of Salerno,,,,1481,1500,
"Alfred,_2nd_Prince_of_Montenuovo",Prince of Montenuovo,,,,1854,1927,
Ali_Babba_bin_Bello,Sultan of Sokoto,,,,1804,1859,
Ali_Sher_Khan_Anchan,Anchan,,,,1590,1625,
Ali_Vâsib,Prince Ali Vâsib,,,,1903,1983,
Alice_Muloki,Inhebantu of Busoga,,,,1929,2005,
"Alice_de_Lacy,_4th_Countess_of_Lincoln",,,,,1281,1348,
Alice_of_Normandy,Countess consort of Burgundy,,,,1002,1038,
"Alix_of_Brittany,_Dame_de_Pontarcy","['suo jure Dame de Pontarcy', 'Countess of Blois']",,,,1243,1288,
Aliye_Sultan,,,,,1880,1903,
"Aloys,_7th_Prince_of_Löwenstein-Wertheim-Rosenberg",Prince of Löwenstein-Wertheim-Rosenberg,,,,1871,1952,
"Alphonse_Henri,_Count_of_Harcourt",Count of Harcourt,,,,1648,1718,France
