title,ontology/title,deathPlace,birthPlace,num_spouses,ontology/birthYear,ontology/deathYear
Şah_Sultan_(daughter_of_Selim_I),,Constantinople,Manisa,1,1509,1572
Şah_Sultan_(daughter_of_Selim_II),,Istanbul,Manisa,,1544,1602
Şahin_Giray,Khanof theCrimean Khanate,Rhodes,Edirne,,1745,1787
Şayan_Kadınefendi_(wife_of_Abdülmecid_I),,Turkey,Russian Empire,1,1829,1862
Şayan_Kadınefendi_(wife_of_Murad_V),,Ortaköy,Russian Empire,1,1853,1945
Şayeste_Hanımefendi,,Turkey,Abkhazia,1,1836,1912
Amjad_Ali_Shah,KingofOudh,Lucknow,Lucknow,,1801,1847
Amy_Brown_(royal_mistress),,,Maidstone,,1783,1876
Amélie_of_Orléans,,France,England,1,1865,1951
Ana_María_de_Huarte_y_Muñiz,Empress consort of Mexico,United States,Morelia,1,1786,1861
Ana_de_Velasco_y_Girón,,Vila Viçosa,,1,1585,1607
Anantavarman_Chodaganga,,,,,1077,1150
Anastasia_of_Serbia,,,,,1125,1200
Andrew_Armstrong,,,,,1786,1863
Andrew_Lauder,,,,,1702,1769
Andrey_Gagarin,Prince Andrey Petrovich Gagarin,Maryland,Saint Petersburg,,1934,2011
Andriamasinavalona,,Antananarivo,Twelve sacred hills of Imerina,,1675,1710
Andrianjafy,,Ilafy,,,1770,1787
Ang_Chan_II,King of Cambodia,Oudong,,,1792,1834
Ang_Eng,King of Cambodia,,,,1772,1796
Ang_Mey,Queen of Cambodia,Oudong,,,1815,1874
Anna_Catherine_Constance_Vasa,,Germany,Warsaw,1,1619,1651
Anna_Diogenissa,,,Constantinople,,1074,12
Anna_Isabella_Gonzaga,,Guastalla,Italy,1,1655,1703
"Anna_Jagiellon,_Duchess_of_Pomerania",,Pomerania,Nieszawa,1,1476,1503
Anna_Karolina_Orzelska,"['Countess Orzelska', 'Princess of Schleswig-Holstein-Sonderburg-Beck']",France,Polish–Lithuanian Commonwealth,1,1707,1769
Anna_Maria_Franziska_of_Saxe-Lauenburg,,Zákupy,Saxe-Lauenburg,2,1673,1741
Anna_Maria_of_Brandenburg,Duchess consort of Pomerania,Wolin (town),Rheinberg,1,1567,1618
Anna_Maria_of_Hungary,,Veliko Tarnovo,Hungary,1,1204,1237
Anna_Maria_of_Liechtenstein,Princess consort of Liechtenstein,Habsburg Monarchy,Habsburg Monarchy,1,1699,1753
Anna_Sforza,,Ferrara,Milan,1,1476,1497
"Anna_Sophia_II,_Abbess_of_Quedlinburg",,Quedlinburg Abbey,Landgraviate of Hesse-Darmstadt,,1638,1683
"Anna_de'_Medici,_Archduchess_of_Austria","['Archduchess of Further Austria', 'Countess ofTyrol']",Austria,Palazzo Pitti,1,1616,1676
"Anna_of_Austria,_Queen_of_Spain",,Badajoz,Cigales,1,1549,1580
Anna_of_Mecklenburg-Schwerin,,Rödelheim,Plau am See,1,1485,1525
"Anna_of_Saxony,_Electress_of_Brandenburg",,Neustadt an der Aisch,Meissen,,1437,1512
"Anna_of_Saxony,_Landgravine_of_Hesse",,Spangenberg,,1,1420,1462
Anna_of_Tyrol,Holy Roman Empress; Queen consort of the Romans Hungary and Bohemia; Archduchess consort of Austria,Austria,Austria,1,1585,1618
Anna_van_Egmont,,Duchy of Brabant,Duchy of Brabant,1,1533,1558
"Anne,_Duchess_of_Cumberland_and_Strathearn",Duchess of Cumberland and Strathearn,,Marylebone,1,1743,1808
Anne-Marie_von_Schutzbar_genannt_Milchling,Hereditary Grand Duchess of Oldenburg,Rastede,Hann. Münden,1,1903,1991
"Anne_Christine_of_Sulzbach,_Princess_of_Piedmont",,Royal Palace of Turin,Sulzbach-Rosenberg,1,1704,1723
Anne_Dorte_of_Rosenborg,,Denmark,Frederikssund,1,1947,2014
Anne_Geneviève_de_Lévis,"['Princess of Soubise', 'Duchess of Rohan-Rohan', 'Princess of Turenne']",France,,2,1673,1727
Anne_Gonzaga,Countess Palatine of Simmern,France,France,1,1616,1684
Anne_Henriette_of_Bavaria,Princess of Condé,Petit Luxembourg,France,1,1648,1723
Anne_Julie_de_Melun,Princess of Soubise,France,France,1,1698,1724
Anne_Marie_Louise_de_La_Tour_d'Auvergne,Princess of Soubise,France,Hôtel de Chimay,1,1722,1739
Anne_Marie_d'Orléans,"['Duchess consort of Savoy', 'Queen consort of Sardinia', 'Queen consort of Sicily']",Villa della Regina,Château de Saint-Cloud,1,1669,1728
Anne_Marie_de_Bourbon,,France,Hôtel de Condé,,1675,1700
Anne_de_La_Grange-Trianon,Countess of Frontenac,France,,1,1632,1707
"Anne_de_Montafié,_Countess_of_Clermont-en-Beauvaisis","['Countess of Soissons', 'suo jure']",Hotel_de_Soissons,,1,1577,1644
Anne_de_Rohan-Chabot,Princess of Soubise,France,,1,1648,1709
"Anne_of_Austria,_Margravine_of_Brandenburg",,Legnica,Vienna,2,1275,1327
Anne_of_Bavaria,,,,1,1329,1353
Anne_of_Bohemia_(1290–1313),,Austria,Czech Republic,1,1290,1313
Anne_of_Cyprus,,Switzerland,Nicosia,1,1418,1462
"Anne_of_Denmark,_Electress_of_Saxony",,Dresden,Haderslev,1,1532,1585
"Anne_of_York,_Duchess_of_Exeter",Duchess of Exeter,,Fotheringhay,2,1439,1476
"Anselm_Franz,_2nd_Prince_of_Thurn_and_Taxis",Prince of Thurn and Taxis,Southern Netherlands,Southern Netherlands,,1681,1739
Anthony_Aucher,,,,,1614,1692
Anthony_Walter_Dayrell_Brooke,H.H.Rajah Muda of Sarawak (titular),New Zealand,,,1912,2011
"Antigone_Plantagenet,_Countess_of_Tankerville","['Countess of Tankerville', 'Countess of Powis']",,,1,1425,1450
"Antoine,_13th_Prince_of_Ligne",Prince of Ligne,Château de Belœil,Brussels,1,1925,2005
Antoinette_de_Bourbon,Duchess of Guise,,Château de Ham,1,1493,1583
Antoinette_de_Mérode,Princess of Monaco,France,Brussels,1,1828,1864
"Anton-Günther,_Duke_of_Oldenburg",Duke of Oldenburg,Harmsdorf Ostholstein,Lensahn,1,1923,2014
Anton_II_of_Georgia,,Nizhny Novgorod,,,1762,1827
"Anton_Ulrich,_Duke_of_Saxe-Meiningen",Duke of Saxe-Meiningen,Frankfurt,Meiningen,2,1687,1763
"Antonio_Farnese,_Duke_of_Parma",,Parma,Duchy of Parma,1,1679,1731
"Albert,_8th_Prince_of_Thurn_and_Taxis",Prince of Thurn and Taxis,Regensburg,Kingdom of Bavaria,1,1867,1952
"Albert,_Margrave_of_Meissen_(1934–2012)",Margrave of Meissen,Munich,Bamberg,,1934,2012
"Albert,_Prince_of_Schwarzburg-Rudolstadt",Prince of Schwarzburg-Rudolstadt,Rudolstadt,Rudolstadt,,1798,1869
"Albert_I,_Margrave_of_Meissen",Margrave of Meissen,,,1,1158,1195
"Albert_II,_Duke_of_Saxony","['(officially:)', 'Duke of Saxony Angria and Westphalia']",Aken (Elbe),Wittenberg,1,1250,1298
"Albert_III,_Duke_of_Saxe-Lauenburg","['(officially:)', 'Duke of Saxony Angria and Westphalia']",,,1,1281,1308
"Albert_IV,_Duke_of_Mecklenburg",,,,,1363,1388
"Albert_IV,_Duke_of_Saxe-Eisenach",Duke of Saxe-Eisenach,Eisenach,Altenburg,1,1599,1644
"Albert_IV,_Duke_of_Saxe-Lauenburg",,,,,1315,1343
Aleksey_Belevsky-Zhukovsky,,Caucasus,Salzburg (state),1,1871,1931
"Alessandro,_1st_Duke_of_Castel_Duino",Duke of Castel Duino,Castel_Duino,Mcely,,1881,1937
"Alexander,_Prince_of_Erbach-Schönberg",Prince of Erbach-Schönberg,Bensheim,Grand Duchy of Hesse,1,1872,1944
"Alexander,_Prince_of_Lippe",Prince of Lippe,,Detmold,,1831,1905
"Alexander,_Prince_of_Orange",Prince of Orange,The Hague,Noordeinde Palace,,1851,1884
Alexander_Erskine-Hill,,,,,1894,1947
"Alexander_Ferdinand,_3rd_Prince_of_Thurn_and_Taxis",Prince of Thurn and Taxis,Regensburg,Free City of Frankfurt,1,1704,1773
"Alexander_Georgievich,_7th_Duke_of_Leuchtenberg",Duke of Leuchtenberg,Salies-de-Béarn,Saint Petersburg,,1881,1942
Alexander_III_of_Imereti,,,,,1609,1660
Alexander_II_of_Kakheti,,Zagem,,1,1527,1605
Alexander_II_of_Russia,,Winter Palace,Russian Empire,2,1818,1881
"Alexander_von_Hanstein,_Count_of_Pölzig_and_Beiersdorf",,,,1,1804,1884
Alexandra_Prinzessin_von_Hannover,Princess Welf Henry of Hanover,Hesse,Hesse,1,1937,2015
Alexandra_Zhukovskaya,,Nossen,Rhine Province,1,1842,1899
Alexei_Antonovich_of_Brunswick,,Horsens,Kholmogory,,1746,1787
"Alexis,_Prince_of_Bentheim_and_Steinfurt",Prince of Bentheim and Steinfurt,Steinfurt,Kingdom of Hanover,1,1845,1919
"Alexius_Frederick_Christian,_Duke_of_Anhalt-Bernburg",Duke of Anhalt-Bernburg,Ballenstedt,Ballenstedt,1,1767,1834
"Alfonso_III_d'Este,_Duke_of_Modena",Duke of Modena and Reggio,Castelnuovo di Garfagnana,Ferrara,1,1591,1644
"Alfonso_IV_d'Este,_Duke_of_Modena",Duke of Modena and Reggio,Ducal Palace of Modena,Ducal Palace of Modena,1,1634,1662
Alfonso_of_Aragon_(1481–1500),Duke ofBiscegliePrince of Salerno,Papal States,Kingdom of Naples,1,1481,1500
"Alfred,_2nd_Prince_of_Montenuovo",Prince of Montenuovo,First Austrian Republic,Austrian Empire,,1854,1927
Ali_Babba_bin_Bello,Sultan of Sokoto,Sokoto,Wurno,,1804,1859
Ali_Sher_Khan_Anchan,Anchan,Skardu,Skardu,,1590,1625
Ali_Vâsib,Prince Ali Vâsib,Egypt,Istanbul,1,1903,1983
Alice_Muloki,Inhebantu of Busoga,,,1,1929,2005
"Alice_de_Lacy,_4th_Countess_of_Lincoln",,Barlings Abbey,Denbigh Castle,3,1281,1348
Alice_of_Normandy,Countess consort of Burgundy,,,1,1002,1038
"Alix_of_Brittany,_Dame_de_Pontarcy","['suo jure Dame de Pontarcy', 'Countess of Blois']",,Château de Suscinio,1,1243,1288
Aliye_Sultan,,Istanbul,Istanbul,,1880,1903
"Aloys,_7th_Prince_of_Löwenstein-Wertheim-Rosenberg",Prince of Löwenstein-Wertheim-Rosenberg,Wertheim am Main,Kleinheubach,,1871,1952
"Alphonse_Henri,_Count_of_Harcourt",Count of Harcourt,France,France,,1648,1718
"Amalia_of_Saxony,_Duchess_of_Bavaria",,Rochlitz,Meissen,1,1436,1501
Amalia_von_Dyhrn,Baroness von Dyhrn,Mirocin Górny,Kingdom of Prussia,1,1790,1866
Amalie_Auguste_of_Bavaria,Queen consort of Saxony,Wachwitz,Munich,1,1801,1877
Amalie_of_Zweibrücken-Birkenfeld,"['Electress consort of Saxony', 'Queen consort of Saxony', 'Duchess of Warsaw']",,Mannheim,1,1752,1828
Amar_Singh_II,RanaofMewar,,,,1672,1710
Amedeus_Alexander_of_Savoy,Prince of Savoy,,Royal Palace of Turin,,1754,1755
Amelia_of_Nassau-Weilburg,,Schaumburg Castle Rhineland-Palatinate,Kirchheimbolanden,1,1776,1841
Antony_Guy_Acland,,,,,1916,1983
Apogee_of_Pedro_II_of_Brazil,,France,Paço de São Cristóvão,1,1825,1891
Archduchess_Adelheid_of_Austria,,Pöcking,Schloss Hetzendorf,,1914,1971
Archduchess_Agnes_Christina_of_Austria,Princess Agnes Christina of Liechtenstein,Austria,Austria,1,1928,2007
Archduchess_Amalie_Theresa_of_Austria,Archduchess of Austria,Hofburg Palace,Hofburg Palace,,1807,1807
Archduchess_Anna_of_Austria,Duchess consort of Bavaria,Munich,Prague,1,1528,1590
Archduchess_Assunta_of_Austria,,San Antonio,Vienna,,1902,1993
Archduchess_Auguste_Ferdinande_of_Austria,Princess of Bavaria,Munich,Florence,1,1825,1864
Archduchess_Caroline_Ludovika_of_Austria,,Hofburg Palace,Hofburg Palace,,1795,1799
Archduchess_Charlotte_of_Austria,Duchess of Mecklenburg,Munich,Prangins,1,1921,1989
Archduchess_Dolores_of_Austria,,Viareggio,Austria,,1891,1974
Archduchess_Dorothea_of_Austria,"['Grand Duchess of Tuscany', 'Archduchess and Princess Dorothea of Austria; Princess Dorothea of Hungary Bohemia and Tuscany']",Austria,Schloss_Leutstetten,1,1920,2015
Archduchess_Eleanor_of_Austria,Duchess of MantuaandMontferrat,Mantua,Vienna,1,1534,1594
Archduchess_Eleonora_of_Austria,,,Pula,,1891,1966
Archduchess_Elisabeth_Amalie_of_Austria,Princess Elisabeth of Liechtenstein,Vaduz,Reichenau an der Rax,1,1878,1960
