title,ontology/activeYearsStartYear,ontology/predecessor_label,ontology/parent_label,ontology/deathPlace_label,ontology/successor_label,ontology/title,ontology/activeYearsEndYear,ontology/birthPlace_label,http://purl.org/dc/elements/1.1/description,ontology/deathYear,ontology/spouse_label,ontology/birthYear,ontology/restingPlace_label,ontology/alias,http://www.w3.org/2002/07/owl#differentFrom_label,ontology/deathDate,ontology/birthDate,http://www.w3.org/2000/01/rdf-schema#seeAlso_label,ontology/occupation_label,http://www.w3.org/2003/01/geo/wgs84_pos#long,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.georss.org/georss/point,ontology/viafId,ontology/birthName,ontology/royalAnthem_label,ontology/royalAnthem,ontology/soundRecording,ontology/soundRecording_label,ontology/nationality_label,ontology/nationality,ontology/imdbId,ontology/country_label,ontology/personFunction_label,ontology/education_label,ontology/personFunction,ontology/education,ontology/knownFor_label,ontology/knownFor,ontology/almaMater,ontology/almaMater_label,ontology/residence,ontology/residence_label,ontology/networth,ontology/board,ontology/board_label,ontology/stateOfOrigin,ontology/stateOfOrigin_label,ontology/relative_label,ontology/relative
Časlav,0927,Zaharija of Serbia,Klonimir,Sava,Tihomir of Rascia,archon (ἄρχων),0960,Veliki Preslav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Şah_Sultan_(daughter_of_Selim_I),,,"[""Selim I"",""Ayşe Hatun (wife of Selim I)""]","[""Ottoman Empire"",""Constantinople""]",,,,"[""Ottoman Empire"",""Manisa""]",Ottoman princess,1572,Lütfi Pasha,1509,"[""Istanbul"",""Yavuz Selim Mosque""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Şah_Sultan_(daughter_of_Selim_II),,,"[""Selim II"",""Nurbanu Sultan""]","[""Ottoman Empire"",""Istanbul""]",,,,"[""Ottoman Empire"",""Manisa""]",Ottoman princess,1602,,1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Şahin_Giray,1777,"[""Devlet_IV_Giray"",""Bahadır_II_Giray""]","[""Ahmed_Giray"",""Saliha_Sultan_a_daughter_of_Ahmed_III""]",Rhodes,,Khanof theCrimean Khanate,1782,Edirne,Crimean Khan,1787,,1745,Rhodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Şayan_Kadınefendi_(wife_of_Abdülmecid_I),1843,,,"[""Ottoman Empire"",""Istanbul"",""Turkey""]",,,1861,"[""Sochi"",""Anapa"",""Abkhazia"",""Russian Empire""]",Wife of Ottoman Sultan,1862,Abdülmecid I,1829,,Şayanidil Şahcan Şahcihan,Şayan Kadınefendi (wife of Murad V),1862-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Şayan_Kadınefendi_(wife_of_Murad_V),1876,Neşerek Kadınefendi,,"[""Ottoman Empire"",""Istanbul"",""Turkey"",""Ortaköy""]",,,1876,"[""Anapa"",""Russian Empire""]",Wife of Ottoman Sultan,1945,Murad V,1853,,Şayanidil Şahcan Şahcihan,Şayan Kadınefendi (wife of Abdülmecid I),1945-03-15,1853-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Şayeste_Hanımefendi,1852,,,"[""Ottoman Empire"",""Istanbul"",""Turkey""]",,,1861,"[""Sukhumi"",""Abkhazia""]",Wife of Ottoman Sultan,1912,Abdülmecid I,1836,,,,1912-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amina_Kabafa’anu,1773,,Muhammad_Imaduddin_III,,,,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amirreza_Amirbakhtiar,,,"[""Mohammad_Reza_khan"",""Bibi_Hengameh""]",,,Khan of bakhtiari tribe,,"[""Khuzestan Province"",""Ahvaz""]",Political activist,,,1985,,,,,1985-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amitis_Shahbanu,,,Astyages,"[""Persis"",""Takht-e Soleymān""]",,,,Ecbatana,Queen of the Persian Achaemenid Empire,,Cyrus the Great,-0559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
